document_id,organisation_id,starting_year
2380,3999111,2022
2033,3999111,2021
2378,3999112,2022
2017,3999112,2021
2385,3999113,2022
2018,3999113,2021
2383,3999114,2022
2105,3999114,2021
2376,3999115,2022
2022,3999115,2021
2381,3999116,2022
2021,3999116,2021
2382,3999117,2022
2020,3999117,2021
2379,3999118,2022
2139,3999118,2021
2386,3999119,2022
2103,3999119,2021
2368,3999120,2022
2024,3999120,2021
2370,3999121,2022
2027,3999121,2021
2371,3999122,2022
2028,3999122,2021
2387,3999123,2022
2034,3999123,2021
2372,3999124,2022
2029,3999124,2021
2449,3999125,2022
2096,3999125,2021
2373,3999126,2022
2025,3999126,2021
2099,3999127,2021
2377,3999128,2022
2019,3999128,2021
2369,3999129,2022
2026,3999129,2021
2375,3999130,2022
2032,3999130,2021
2384,3999131,2022
2030,3999131,2021
2374,3999132,2022
2031,3999132,2021
